,X,id,sale,rating,units,industry,product,country,return.client,contract,primary,secondary,deci5,aux,tsee,c1550,c1551,c1553,c1554,c1556,c1552,c15512,c1542,c1558,c1557,c1559,c15511,c15513,c15514,c15515
1,1,3319288385,10030,4.608165695,71,tech,Series A,Switzerland,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0
2,2,3319288377,5499,4.007151351,62,environmental,Series A,Switzerland,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
3,3,8132227255,32650,5.788429949,368,tech,Series C,India,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0
4,4,8132227239,17900,5.187385806,368,biotech,Series C,India,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
5,5,128048425,27792,5.627333302,232,tech,Series A13,United Kingdom,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1
6,6,128046910,19300,5.262690189,232,biotech,Series A,United Kingdom,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1
7,7,128052198,20448,5.320470171,194,tech,Series A,United States,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
8,8,3319225189,32650,5.788429949,707,tech,Series C,Switzerland,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
9,9,3319225219,32650,5.788429949,656,tech,Series C,Switzerland,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
10,10,128051795,22032,5.395081035,534,tech,Series A,United States,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1
11,11,1138148849,16500,5.105945474,336,biotech,Series B55,United Kingdom,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1
12,12,3319313924,23530,5.460861296,240,999,Series A,United States,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1
13,13,4431558268,5999,4.094177882,263,biotech,Series A,Japan,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
14,14,3035108579,29256,5.678669774,396,999,NA,Germany,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
15,15,303432006X,10795,4.681668157,396,biotech,NA,Switzerland,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
16,16,3319432788,36298,5.894347736,314,tech,Series C,Switzerland,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
17,17,3319432761,19900,NA,314,biotech,Series C,Switzerland,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,18,9811025762,32650,NA,306,tech,Series A,Singapore,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
19,19,8177084208,3850,3.650658241,181,biotech,Series C,India,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1
20,20,144389818X,11328,4.72986263,573,tech,Series A,United Kingdom,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
21,21,1443894745,10795,4.681668157,573,biotech,Series A,United Kingdom,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
22,22,3319322540,12900,4.859812404,264,biotech,Series C,Switzerland,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1
23,23,8132226593,29002,5.669949886,210,tech,Series A,India,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,24,8132226577,15900,5.068904202,210,biotech,Series A,India,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0
25,25,981101468X,15900,NA,208,biotech,Series C,Singapore,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
26,26,9811014698,29002,NA,208,tech,Series C,Singapore,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
27,27,9811018995,10030,4.608165695,68,tech,NA,Singapore,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
28,28,1498730221,16794,5.123606773,300,tech,NA,United States,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
29,29,1498714838,26394,5.575721805,622,tech,NA,United States,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0
30,30,1486304648,5634,4.031404762,152,tech,Series C,Australia,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
31,31,1498755992,21594,5.375000591,617,tech,Series C,United States,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1
32,32,1634854187,12217,4.805413517,144,environmental,Series A,United States,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
33,33,1780648685,14000,4.941642423,210,biotech,Series C,United Kingdom,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
34,34,012803436X,14393,4.96932707,342,tech,Series A,Netherlands,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
35,35,1134654871,15000,5.010635294,325,tech,Series A,United Kingdom,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1
36,36,8132227778,17900,5.187385806,299,biotech,Series A,India,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1
