,id,sale,rating,units,industry,product,country,return.client,contract,primary
1,1107103851,6499,4.174233412,492,biotech,Series B,United Kingdom,0,1,0
2,1107503825,2999,3.400863993,492,environmental,Series B,United Kingdom,0,1,0
3,393603334,8190,4.405498991,700,biotech,Series B55,United States,1,0,0
4,393603326,11700,4.762173935,700,environmental,Series B,United States,1,0,0
5,3110476622,28000,5.634789603,152,tech,Series A,Germany,0,0,0
6,128043377,29400,5.683579767,360,tech,Series A,United States,1,0,0
7,1498704182,19995,5.298067335,472,tech,Series C,United States,1,0,0
8,71849106,1600,2.772588722,228,environmental,Series B55,United States,1,0,0
9,9814725560,17700,NA,540,tech,Series A,Singapore,0,0,1
10,9814725544,11800,4.770684624,540,biotech,NA,Singapore,0,0,1
11,9814725552,4900,3.891820298,540,environmental,Series A,Singapore,0,0,1
12,3527413332,8000,4.382026635,313,environmental,Series B,Germany,0,0,0
13,9814719676,5800,4.060443011,281,biotech,Series C,Singapore,0,0,1
14,3527413499,12000,4.787491743,482,environmental,Series C,Germany,0,0,0
15,1107638577,3999,3.688629423,370,environmental,Series B,United Kingdom,0,1,0
16,9811014426,12900,4.859812404,158,999,Series C,Singapore,0,0,1
17,3319484117,12900,4.859812404,129,999,Series A,Switzerland,0,0,0
18,9811022984,17900,5.187385806,470,biotech,Series A,Singapore,0,0,1
19,9811022992,17900,5.187385806,470,999,NA,Singapore,0,0,1
20,3319349546,12900,4.859812404,387,environmental,Series A,Switzerland,0,0,0
21,128051744,26040,5.56221891,230,tech,Series A,United States,1,0,0
22,1119290953,29500,5.686975356,577,tech,Series C,United States,1,0,0
23,128097485,26640,5.584998939,230,tech,Series C,Netherlands,0,0,0
24,128052279,29400,5.683579767,176,tech,Series A,United States,1,0,0
25,128052260,29400,NA,156,tech,Series A,United States,1,0,0
26,128052317,29400,NA,160,tech,Series A,United States,1,0,0
27,1138199303,6000,NA,744,environmental,Series B55,United Kingdom,0,1,0
28,9814749761,14700,NA,263,tech,Series A,Singapore,0,0,1
29,191017981,11880,NA,341,tech,Series C,United Kingdom,0,1,0
30,3319382683,17900,NA,512,environmental,Series A,Switzerland,0,0,0
31,1119027128,9500,4.553876892,379,tech,Series A,United States,1,0,0
32,191085782,41250,6.022236206,257,tech,Series C,United Kingdom,0,1,0
33,9814749974,12800,4.852030264,462,biotech,Series B55,Singapore,0,0,1
34,9814749982,6500,4.17438727,462,environmental,Series C,United States,1,0,0
35,110715443X,9499,4.553771623,560,biotech,Series C,India,0,0,1
36,1483282864,8754,4.472095832,281,tech,Series B55,United States,1,0,0
37,3319450441,12900,4.859812404,180,tech,Series A,Switzerland,0,0,0
38,3319485563,12900,4.859812404,206,tech,Series A,Switzerland,0,0,0
39,3319297317,8999,4.499698553,254,tech,Series C,Switzerland,0,0,0
40,1400884187,6195,4.126327608,155,tech,Series B55,United States,1,0,0
41,128050772,30720,5.727499001,242,tech,Series A,Netherlands,0,0,0
42,1786341115,4800,3.871201011,325,environmental,Series C,United Kingdom,0,1,0
43,1786341123,16500,5.105945474,304,tech,Series C,United Kingdom,0,1,0
44,1259643557,2800,3.33220451,277,environmental,Series B55,United States,1,0,0
45,1259588068,1800,2.890371758,277,environmental,Series B55,United States,1,0,0
46,1259587959,1800,2.890371758,333,environmental,Series B55,United States,1,0,0
47,1259588521,1800,2.890371758,288,environmental,Series B55,United States,1,0,0
48,8132236408,13900,4.934473933,432,tech,Series B55,India,0,0,1
49,8132236386,13900,4.934473933,432,biotech,Series B55,India,0,0,1
50,1771883510,19194,5.257182823,368,tech,Series C,Canada,0,0,0
51,1634848136,12217,4.805413517,132,biotech,Series C,United States,1,0,0
52,1634850866,11000,4.700480366,132,999,Series C,United States,1,0,0
53,198351887,1348,2.601207105,96,environmental,Series B55,United Kingdom,0,1,0
54,8179034,1195,2.480731278,96,environmental,Series B55,United Kingdom,0,1,0
55,1471858545,1348,2.601207105,90,environmental,Series B55,United Kingdom,0,1,0
56,3319461796,25900,5.556828062,256,999,Series A,Switzerland,0,0,0
57,3319239864,25900,5.556828062,336,999,Series A,Switzerland,0,0,0
58,3662509067,8999,4.499698553,192,environmental,Series A,Germany,0,0,0
59,1583818944,8800,4.477336814,277,biotech,Series B55,United States,1,0,0
60,3662497182,12900,4.859812404,485,999,Series A,United States,1,0,0
61,3662497174,12900,4.859812404,485,biotech,Series A,United States,1,0,0
62,3319236008,12900,4.859812404,235,999,Series A,Switzerland,0,0,0
63,3662528592,12900,4.859812404,214,999,Series C,Germany,0,0,0
64,3662528576,12900,4.859812404,214,biotech,Series C,Germany,0,0,0
65,3319387022,12900,4.859812404,178,environmental,Series A,Switzerland,0,0,0
66,3319333798,8999,4.499698553,233,999,Series A,Switzerland,0,0,0
67,3319312995,10900,4.691347882,326,999,Series B55,Switzerland,0,0,0
68,3319312979,10900,4.691347882,326,biotech,Series B55,Switzerland,0,0,0
69,3527336419,33500,5.814130532,707,999,Series C,Germany,0,0,0
70,3319286447,12900,4.859812404,124,biotech,Series C,Switzerland,0,0,0
71,3319286463,12900,4.859812404,124,999,Series C,Switzerland,0,0,0
72,9813141433,21800,5.384495063,436,999,Series C,Singapore,0,0,1
73,3658137134,6999,4.248352375,115,tech,Series C,Germany,0,0,0
74,3658137126,6999,4.248352375,106,environmental,Series C,Germany,0,0,0
75,9811001804,22900,5.433722004,510,tech,Series A,Singapore,0,0,1
76,1438007426,1899,2.943912525,645,environmental,Series B55,United States,1,0,0
77,1438007892,1899,2.943912525,1027,environmental,Series B55,United States,1,0,0
78,1438068565,1899,2.943912525,1027,tech,Series B55,United States,1,0,0
79,3319272632,5999,4.094177882,409,biotech,Series C,Switzerland,0,0,0
80,3319211919,13900,4.934473933,252,tech,Series A,Switzerland,0,0,0
81,3319211900,13900,4.934473933,265,biotech,Series A,Switzerland,0,0,0
82,128093072,27000,5.598421959,1012,tech,Series C,Netherlands,0,0,0
83,128053577,22500,5.416100402,1012,environmental,Series C,Netherlands,0,0,0
84,3319393553,12900,4.859812404,197,tech,Series C,Switzerland,0,0,0
85,3319416448,10900,4.691347882,245,tech,Series C,Switzerland,0,0,0
86,9811002754,5499,4.007151351,149,tech,Series A,Switzerland,0,0,0
87,1783268328,29700,5.693732139,741,tech,Series C,United Kingdom,0,1,0
88,178326831X,19800,5.288267031,741,biotech,Series C,United Kingdom,0,1,0
89,3319434527,12900,4.859812404,101,tech,Series A,Switzerland,0,0,0
90,3319434519,12900,4.859812404,101,biotech,Series A,Switzerland,0,0,0
91,3319389955,12900,4.859812404,461,tech,Series A,Switzerland,0,0,0
92,3319313126,4999,3.911822985,199,environmental,NA,Switzerland,0,0,0
93,3319279025,10900,4.691347882,226,tech,Series A,Switzerland,0,0,0
94,3319279009,10900,4.691347882,226,biotech,Series A,Switzerland,0,0,0
95,191076686,14040,4.944495492,567,tech,Series C,United Kingdom,0,1,0
96,3319293516,8999,4.499698553,217,tech,Series A2,Switzerland,0,0,0
97,3319293508,8999,4.499698553,204,biotech,Series A2,Switzerland,0,0,0
98,1583818901,8800,4.477336814,289,biotech,Series C,United States,1,0,0
99,1107015464,12000,4.787491743,656,biotech,Series C,United Kingdom,0,1,0
100,1107601746,3699,3.610647606,656,environmental,Series C,United Kingdom,0,1,0
101,1107589487,2244,3.110845081,240,environmental,Series B55,United Kingdom,0,1,0
102,1482252716,21995,5.393400248,727,tech,Series C,United States,1,0,0
103,3319241494,5999,4.094177882,206,environmental,Series C,Switzerland,0,0,0
104,1138151556,16500,5.105945474,192,biotech,Series B55,United Kingdom,0,1,0
105,1471865487,23976,5.479638423,98,tech,Series B55,United Kingdom,0,1,0
106,147186393X,1625,2.788092909,99,environmental,Series B55,United Kingdom,0,1,0
107,1471865509,23976,5.479638423,99,tech,Series B55,United Kingdom,0,1,0
108,1471863921,1348,2.601207105,98,environmental,Series B55,United Kingdom,0,1,0
109,3662503700,14900,5.003946306,553,tech,Series C,Germany,0,0,0
110,3319495712,17900,5.187385806,254,tech,Series A,Switzerland,0,0,0
111,3110473631,15400,5.036952602,201,tech,Series C,Germany,0,0,0
112,3319445189,12900,4.859812404,518,tech,Series A,Switzerland,0,0,0
113,3319445189,12900,4.859812404,518,tech,Series A,Switzerland,0,0,0
114,1771883022,15995,5.074861266,325,biotech,Series B55,Canada,0,0,0
115,3319394878,2999,3.400863993,146,tech,Series C,Switzerland,0,0,0
116,9811008043,12900,4.859812404,95,tech,Series A,Singapore,0,0,1
117,9811008027,12900,4.859812404,95,biotech,Series A,Singapore,0,0,1
118,1439875421,12995,4.867149761,254,biotech,Series C,United States,1,0,0
119,143987543X,12995,4.867149761,254,tech,Series C,United States,1,0,0
120,3319350242,12900,4.859812404,110,environmental,Series A,Switzerland,0,0,0
121,1316611876,5999,4.094177882,596,environmental,Series B55,United Kingdom,0,1,0
122,3319383973,12900,4.859812404,144,environmental,Series A,Switzerland,0,0,0
123,486801217,1695,2.830267834,235,environmental,Series B55,United States,1,0,0
